#CustomerId,Balance,Rank
15806771,3769,1
15713774,12459,2
15776467,14263,3
15741416,16894,4
15669011,23503,5
15800083,24043,6
15674156,27288,7
15715638,27517,8
15690925,27756,9
15594878,28083,10
15598485,28650,11
15649292,29602,12
15627830,32198,13
15574761,33564,14
15677371,34014,15
15693906,34548,16
15798964,35017,17
15751032,35550,18
15791172,35742,19
15629338,36567,20
15592979,37267,21
15743976,37703,22
15773283,38340,23
15752622,38550,24
15679394,38617,25
15602811,38848,26
15763662,39043,27
15611186,39345,28
15754929,39539,29
15684042,40106,30
15682834,40170,31
15672875,40173,32
15624428,40225,33
15576124,40489,34
15804771,40686,35
15612350,40916,36
15734044,41299,37
15740345,41473,38
15569807,42157,39
15665008,42713,40
15615254,43029,41
15658449,43135,42
15618647,43504,43
15642816,43658,44
15582129,43773,45
15813412,44021,46
15767064,44055,47
15635364,44301,48
15569249,44582,49
15613713,44929,50
15750839,45022,51
15743007,45144,52
15658946,45409,53
15603749,45472,54
15753110,45753,55
15686743,46058,56
15660147,46161,57
15690620,46324,58
15593778,46388,59
15623566,46521,60
15610383,46870,61
15669783,47021,62
15719856,47135,63
15674328,47364,64
15680167,47536,65
15688157,47685,66
15658956,47870,67
15582154,47885,68
15746695,48024,69
15707974,48387,70
15704987,49114,71
15700654,49157,72
15812230,49509,73
15680920,49513,74
15808175,49573,75
15579526,50195,76
15633897,50881,77
15624820,50911,78
15622518,51116,79
15569654,51293,80
15735263,51523,81
15768449,51583,82
15611318,51691,83
15801473,51950,84
15761717,51963,85
15567725,52016,86
15743478,52106,87
15708650,52192,88
15799217,52436,89
15702462,52831,90
15775433,53013,91
15664227,53054,92
15634143,53292,93
15644686,53300,94
15813645,53369,95
15566139,53573,96
15771383,53667,97
15578799,53773,98
15758836,54098,99
15575759,54428,100
15584766,54504,101
15645103,54818,102
15607178,54901,103
15647572,54981,104
15802274,55054,105
15798895,55328,106
15781678,55733,107
15668971,55776,108
15779581,55853,109
15702014,56085,110
15630709,56116,111
15726931,56215,112
15621063,56228,113
15613189,56581,114
15694188,56581,115
15684269,56674,116
15635143,56727,117
15751203,56738,118
15780140,57017,119
15661974,57038,120
15585106,57068,121
15804853,57099,122
15626491,57327,123
15569892,57370,124
15798605,57423,125
15613102,57530,126
15646594,57569,127
15572360,57657,128
15600110,57746,129
15801265,57784,130
15565779,57809,131
15611325,57930,132
15791006,58003,133
15705313,58036,134
15757140,58137,135
15759537,58469,136
15747772,58571,137
