CustomerId,Balance,IsActiveMember
15634602,0,1
15647311,83807.86,1
15619304,159660.8,0
15701354,0,0
15737888,125510.82,1
15574012,113755.78,0
15592531,0,1
15656148,115046.74,0
15792365,142051.07,1
15592389,134603.88,1
15767821,102016.72,0
15737173,0,0
15632264,0,0
15691483,0,0
15600882,0,1
15643966,143129.41,1
15737452,132602.88,0
15788218,0,1
15661507,0,0
15568982,0,1
15577657,0,1
15597945,0,0
15699309,0,0
15725737,0,1
15625047,0,1
15738191,0,1
15736816,136815.64,1
15700772,0,0
15728693,141349.43,1
15656300,59697.17,1
15589475,0,0
15706552,85311.7,1
15750181,110112.54,0
15659428,0,1
15732963,0,1
15794171,134264.04,0
15788448,145260.23,1
15729599,76548.6,1
15717426,0,1
15585768,70349.48,1
15619360,0,0
15738148,122522.32,0
15687946,117419.35,1
15755196,131394.56,0
15684171,155931.11,1
15754849,109421.13,1
15602280,112045.67,1
15771573,137843.8,1
15766205,103391.38,1
15771873,103769.22,0
15616550,116363.37,0
15768193,146050.97,0
15683553,0,0
15702298,125561.97,0
15569590,98495.72,0
15760861,125211.92,1
15630053,127864.4,0
15647091,75888.2,0
15623944,0,0
15804771,40685.92,1
15651280,136857,0
15773469,152328.88,0
15702014,56084.69,0
15751208,78707.16,1
15592461,109166.37,1
15789484,169831.46,1
15696061,101633.04,0
15641582,123180.01,1
15638424,150725.53,1
15755648,98373.26,0
15703793,133745.44,0
15620344,0,0
15812518,163607.18,1
15779052,157780.84,1
15770811,0,1
15780961,178718.19,0
15614049,0,1
15662085,0,1
15575185,77253.22,1
15803136,122189.66,0
15706021,96645.54,0
15663706,0,0
15641732,0,0
15701164,90307.62,1
15738751,0,0
15805254,0,1
15762418,121681.82,0
15625759,0,0
15622897,0,0
15767954,81623.67,1
15757535,0,1
15731511,118626.55,0
15809248,0,0
15640635,0,1
15676966,0,1
15699461,176273.95,1
15738721,102827.44,1
15693683,97086.4,1
15604348,0,0
15633059,0,0
15808582,0,1
15743192,0,0
15580146,82674.15,0
15776605,0,0
15804919,0,1
15613854,107073.27,1
15599195,88938.62,1
15812878,99806.85,1
15602312,150092.8,0
15744689,92833.89,0
15803526,90536.81,1
15665790,108055.1,0
15715951,100238.35,0
15591100,106190.55,1
15609618,154475.54,1
15675522,132351.29,1
15705512,167864.4,0
15698028,0,0
15661670,107818.63,0
15600781,185173.81,0
15682472,129433.34,0
15580203,120193.42,0
15690673,0,0
15760085,126384.42,1
15779659,0,0
15627360,152603.45,0
15671137,0,1
15782688,148507.24,0
15575492,0,0
15591607,101827.07,0
15740404,0,1
15718369,130862.43,1
15677871,122570.87,1
15642004,0,1
15712543,124828.46,1
15584518,144895.05,1
15802381,63663.93,1
15610156,133463.1,1
15594408,213146.2,0
15640905,129490.36,1
15698932,137452.09,0
15724944,0,1
15628145,125851.93,1
15713483,0,0
15612350,40915.55,0
15800703,113157.22,1
15705707,138296.94,0
15754105,106967.18,0
15703264,120681.63,0
15794413,0,1
15650237,0,0
15759618,0,0
15811589,0,0
15689044,127609.59,0
15709368,0,1
15679145,0,0
15655007,0,0
15623595,0,1
15589975,97259.25,1
15804017,123246.7,0
15692132,101060.25,1
15641122,0,0
15630910,108007.36,0
15680772,0,1
15658929,133702.89,0
15585388,125189.75,1
15724623,113034.22,0
15588537,109013.23,0
15574692,0,0
15611325,57929.81,0
15587562,130114.39,0
15613172,95826.49,0
15651022,129608.57,0
15586310,169462.09,0
15625524,0,1
15755209,133868.21,1
15645248,0,1
15790355,190479.48,0
15762615,101993.12,1
15625426,161608.81,0
15716334,122311.21,1
15789669,0,1
15621075,162150.42,0
15810845,0,1
15719377,0,1
15654506,0,0
15771977,99010.67,0
15708710,0,1
15726676,0,1
15587421,111388.18,0
15726931,56214.85,0
15771086,84327.77,0
15756850,0,0
15702741,93012.89,0
15679200,61710.44,0
15594815,174790.15,1
15635905,0,1
15777892,107720.64,1
15656176,0,1
15811127,96423.84,0
15604482,141040.01,1
15622911,105420.18,1
15600974,0,1
15727868,129022.06,1
15627801,176666.62,0
15773039,0,1
15755262,89763.84,0
15679531,134954.53,1
15684181,0,0
15612087,106376.85,1
15752047,161814.64,0
15624592,0,1
15573152,0,0
15594917,63095.01,1
15785542,118287.01,0
15723488,106854.21,1
15680920,49512.55,0
15786308,0,0
15659366,105799.32,0
15774854,0,1
15725311,114722.05,1
15787155,0,1
15727829,0,1
15733247,0,0
15568748,99564.22,1
15699029,170557.91,0
15774393,0,1
15676895,74596.15,1
15637753,96888.39,0
15605461,130830.22,0
15808473,0,1
15627000,0,0
15787174,0,1
15723886,119714.25,1
15704769,113978.97,1
15772896,100160.75,0
15711540,0,1
15764866,116220.5,0
15794056,0,0
15795149,81173.83,1
15812009,0,0
15651001,116803.8,0
15813844,105961.68,1
15596175,117411.6,1
15576269,0,0
15797219,123497.58,0
15685500,152400.51,0
15599792,0,1
15657566,103097.85,1
15772423,126418.14,0
15628112,77846.9,0
15753754,0,1
15793726,0,1
15694717,79731.91,1
15665834,0,0
15765297,0,1
15636684,0,1
15592979,37266.67,0
15750803,127992.25,1
15607178,54901.01,1
15713853,108748.08,1
15673481,99906.19,0
15686776,184686.41,0
15673693,110654.02,1
15700696,79019.8,1
15813163,99240.51,0
15653857,0,1
15777076,0,0
15717398,0,0
15799217,52436.2,0
15787071,0,1
15619955,100337.96,0
15796505,149297.19,1
15725166,0,0
15800116,145605.44,1
15758685,0,1
15694456,0,1
15767339,0,0
15683562,84026.86,1
15782210,0,0
15668893,0,1
15669169,0,1
15643024,138718.92,1
15699389,118274.71,1
15708608,174185.98,1
15626144,113208.86,0
15573112,103907.28,0
15790678,119023.28,0
15727556,166297.89,1
15697307,0,0
15652266,63227,1
15607098,94521.17,0
15655774,0,0
15590241,112822.26,0
15785819,0,1
15723654,135903.33,0
15774510,125169.26,1
15684173,0,0
15650068,149117.31,1
15811490,0,1
15803976,0,0
15682541,132311.71,0
15695699,0,0
15624188,0,1
15812191,118082.89,0
15636673,119266.69,1
15594898,0,1
15660211,156847.29,0
15773972,137104.47,0
15746726,78398.69,0
15712287,0,1
15702919,63669.42,0
15674398,0,0
15797960,135296.33,0
15631868,153804.44,1
15581539,0,0
15662736,147069.78,0
15666252,0,1
15677512,0,0
15626114,95741.75,0
15810834,145965.33,1
15678910,141441.75,1
15694408,139290.41,0
15585215,0,0
15682757,0,0
15736601,144428.87,0
15601848,0,0
15736008,95441.27,0
15669064,144848.74,1
15624528,116244.14,1
15598493,0,1
15601274,146502.07,0
15702669,117028.6,1
15728669,112013.81,0
15742668,108269.37,0
15697441,182123.79,0
15740476,150923.74,1
15648064,0,0
15636624,165272.13,0
15807923,115301.31,0
15745844,129502.49,1
15786170,118342.26,0
15681081,0,1
15684484,0,0
15785869,0,0
15763859,0,0
15658935,106937.05,0
15747358,170331.37,1
15735203,114510.85,1
15576256,0,1
15659420,107594.11,1
15593365,81273.13,1
15777352,169399.6,0
15812007,0,1
15625461,187841.99,1
15739438,0,0
15611759,126776.3,1
15661629,126436.29,0
15633950,101960.74,1
15592386,0,1
15803716,0,1
15696674,150842.93,1
15706365,102535.57,1
15745088,99027.61,0
15676715,0,1
15613085,0,1
15633537,87271.41,0
15594720,102742.91,1
15684042,40105.51,1
15583303,152265.43,0
15611579,141947.67,1
15774696,106307.91,1
15694506,107884.81,1
15688074,125013.72,1
15759537,58469.37,1
15758449,0,1
15583456,117231.63,1
15667871,152390.26,0
15677371,34013.63,0
15629677,0,0
15713578,0,1
15591509,101583.11,0
15568240,77168.87,1
15622993,124695.72,0
15689294,105934.96,0
15720910,0,1
15721181,0,0
